condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
5,7,1130,840,1920-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98108
3,8,2150,0,2007-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98126
3,7,1910,0,1997-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98024
4,7,1350,0,1969-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
4,6,860,0,1943-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98056
3,8,1940,0,1994-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98042
3,7,1010,0,1952-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98107
4,7,900,400,1976-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
4,6,910,0,1962-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98059
4,9,1630,850,1966-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98040
3,8,2440,0,2010-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
3,7,1010,0,1915-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98116
3,6,900,0,1941-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98166
3,7,1600,700,1920-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001994,98133
3,8,1550,0,1993-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,8,1060,210,2014-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98105
3,9,2240,0,1983-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
3,9,2714,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98001
3,8,1720,0,1978-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98118
3,6,850,0,1923-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98168
3,9,1870,1430,1957-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001991,98040
3,8,2250,0,2000-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98146
3,8,1950,1950,1947-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98144
4,8,1320,0,1947-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98177
3,10,2760,0,1999-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98075
3,7,1350,400,1961-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98198
3,8,2330,0,1987-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98011
4,8,1780,440,1966-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98030
3,7,2020,0,1994-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
5,7,1250,0,1942-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98146
3,8,1510,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98053
4,7,1120,600,1978-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
4,7,980,450,1961-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98031
3,7,1480,0,2004-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98053
3,7,1230,220,1915-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001978,98166
5,7,2280,0,1960-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98059
3,8,1780,1160,1978-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
3,6,1000,0,1961-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98024
5,7,1620,860,1947-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98108
3,10,3760,0,1983-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98033
5,7,1640,580,1976-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98010
3,7,1670,300,1904-01-01 00:00:00.000000000,1970-01-01 00:00:00.000002005,98122
3,10,3530,300,1993-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98077
4,9,2350,2060,1965-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
4,7,1430,0,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
3,6,830,0,1940-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98126
2,7,1430,0,1925-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
4,6,1300,0,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98002
4,7,790,240,1918-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
3,9,2740,0,1990-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
3,9,1830,1820,2000-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
3,6,720,0,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98106
4,7,2010,0,1976-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98002
4,6,770,790,1918-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
4,7,1240,570,1978-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98032
3,9,3360,0,2001-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
3,8,1510,0,1991-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98045
3,7,800,600,1953-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98118
3,7,1730,0,1987-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98030
5,7,1420,0,1928-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
4,7,1180,1180,1955-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98106
4,7,1200,380,1974-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98059
3,7,1230,0,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98045
3,8,2460,0,2006-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
3,8,1460,200,1911-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98112
4,7,1270,0,1960-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98198
3,10,1320,780,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
3,5,770,0,1930-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98144
5,5,760,0,1936-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98070
4,7,1700,0,1988-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98031
3,7,1120,0,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98106
3,7,1070,0,1937-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
3,8,1420,650,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
3,11,4750,300,1982-01-01 00:00:00.000000000,1970-01-01 00:00:00.000002008,98004
4,11,5310,0,1989-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98077
4,7,1040,0,1939-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
4,7,1700,0,1967-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
3,7,1300,0,1961-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98178
3,7,580,500,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000002003,98199
3,8,2653,0,2006-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98031
5,8,2290,0,1960-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
3,9,2850,970,2014-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98028
3,8,2210,0,1997-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,6,1240,1150,1908-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98118
4,7,1610,990,1969-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98031
3,6,860,0,1931-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98178
5,9,2630,1200,1905-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001994,98122
3,9,3500,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98053
4,8,1740,680,1988-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98028
3,9,2720,0,1992-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98030
3,7,1850,650,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98072
3,7,1140,530,1980-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
3,8,1450,1450,1985-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98006
4,7,1140,500,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98006
4,7,1890,0,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98166
4,8,1780,1170,1975-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
3,9,2160,0,1992-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98001
3,8,2270,1010,1986-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98056
5,8,1270,700,1929-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98126
3,10,3360,0,1994-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98075
3,7,1320,0,1993-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98042
3,8,2650,0,1990-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98059
3,7,1330,700,1963-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98108
3,7,1090,500,1957-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98188
3,10,2600,1950,2002-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
3,8,2440,0,1998-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
